Datetime,Variaveis.TR1_RUIDO,Variaveis.TR2_RUIDO,Variaveis.TR3_RUIDO,Variaveis.PUMP_FALHA,Variaveis.DTS,Variaveis.DPS,Variaveis.OP_SHUTOFF,Variaveis.H2O_QTD,Variaveis.OP_CONCESSIONARIA,Valvula.VALVE5.OP,Variaveis.VOTACAO_TRANSMISSORES,Variaveis.LIMITE_LIQUIDO,Variaveis.MINIMO_LIQUIDO,Valvula.VALVE_RESPIRO.CL,Valvula.VALVE_RESPIRO.OP,Valvula.VALVE_RESPIRO.L,StreamSend.FLARE.P,Valvula.VALVE3.CL,Valvula.VALVE3.OP,Valvula.VALVE3.L,StreamSend.SAIDA_GAS.P,Valvula.VALVE2.CL,Valvula.VALVE2.OP,Valvula.VALVE2.L,Valvula.VALVE1.CL,Valvula.VALVE1.OP,Valvula.VALVE1.L,Valvula.VALVE_SHUTOFF.CL,Valvula.VALVE_SHUTOFF.OP,Valvula.VALVE_SHUTOFF.L,Valvula.VALVE6.OP,Valvula.VALVE6.L,StreamSend.SAIDA_LIQUIDO.P,Valvula.VALVE4.OP,Valvula.VALVE4.L,StreamSend.SAIDA_VAZAMENTO.P,Valvula.VALVE5.L,Transmissor.TR1.OUT,Transmissor.TR2.OUT,Transmissor.TR3.OUT,Drum.V1.L,Drum.V1.P,Drum.V1.T,Drum.V1.VOL,Tubo.S1.P,Tubo.S1.T,Tubo.S1.Q,Tubo.S1.F,Tubo.S1.W,Tubo.S2.P,Tubo.S2.T,Tubo.S2.Q,Tubo.S2.F,Tubo.S2.W,Tubo.S6.P,Tubo.S6.T,Tubo.S6.Q,Tubo.S6.F,Tubo.S6.W,Tubo.S7.P,Tubo.S7.T,Tubo.S7.Q,Tubo.S7.F,Tubo.S7.W,Tubo.S8.P,Tubo.S8.T,Tubo.S8.Q,Tubo.S8.F,Tubo.S8.W,Tubo.S9.P,Tubo.S9.T,Tubo.S9.Q,Tubo.S9.F,Tubo.S9.W,Tubo.S12.P,Tubo.S12.T,Tubo.S12.Q,Tubo.S12.F,Tubo.S12.W,Tubo.S5.P,Tubo.S5.T,Tubo.S5.Q,Tubo.S5.F,Tubo.S5.W,Tubo.S10.P,Tubo.S10.T,Tubo.S10.Q,Tubo.S10.F,Tubo.S10.W,Tubo.S3.P,Tubo.S3.T,Tubo.S3.Q,Tubo.S3.F,Tubo.S3.W,Tubo.S4.P,Tubo.S4.T,Tubo.S4.Q,Tubo.S4.F,Tubo.S4.W,Tubo.S25.P,Tubo.S25.T,Tubo.S25.Q,Tubo.S25.F,Tubo.S25.W,Tubo.S26.P,Tubo.S26.T,Tubo.S26.Q,Tubo.S26.F,Tubo.S26.W,Tubo.S27.P,Tubo.S27.T,Tubo.S27.Q,Tubo.S27.F,Tubo.S27.W,Tubo.S28.P,Tubo.S28.T,Tubo.S28.Q,Tubo.S28.F,Tubo.S28.W,Controlador.PC1.OUT,Controlador.PID1.OUT,Controlador.PID2.OUT,Controlador.PID3.OUT
28/09/2023 22:13:56.085,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/09/2023 22:13:57.451,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/09/2023 22:13:58.529,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/09/2023 22:13:59.630,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.699999988079071,0.15,1.0,0.0,0.0,101.325,0.0,0.0036646127700805664,0.0,101.325,0.0,0.45971593260765076,0.4610336720943451,0.0,0.5402837991714478,0.5389662384879775,0.0,1.0,1.0,0.0,0.0,101.325,0.0,0.0,101.325,0.0,0.0,0.0,0.0,0.0,243.77284200949254,308.53031521761034,14.726215563702155,343.23275,313.15,6.883225889729568,0.9118920168029541,14.96868161173758,266.20789291688016,313.15,6.883035874289785,0.9118668434953534,14.968268392606756,243.77912278788548,313.15,6.883035874289785,0.9118668434953534,14.968268392606756,343.23375,313.15,0.0,0.0,0.0,243.77912278788548,308.53031521761034,0.0,0.0,0.0,243.77284200949254,308.53031521761034,0.0,0.0,0.0,101.325,308.5343726528694,0.0,0.0,0.0,243.77284200949254,308.53031521761034,0.0,0.0,0.0,101.325,308.5343726528694,0.0,0.0,0.0,243.77284200949254,308.53031521761034,9.439708159633971,0.9000724256442079,14.774755143579789,101.325,308.53031521761034,9.439708159633971,0.9000724256442079,14.774755143579789,243.8188887719042,308.53031521761034,0.0,0.0,0.0,101.325,308.5343726528694,0.0,0.0,0.0,243.8188887719042,308.53031521761034,0.0,0.0,0.0,101.325,308.5343726528694,0.0,0.0,0.0,0.0036646127700805664,0.5402837991714478,0.45971593260765076,0.0
28/09/2023 22:14:00.703,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.699999988079071,0.15,1.0,0.0,0.0,101.325,0.0,0.00189971923828125,0.0,101.325,0.0,0.3841984272003174,0.3847406506538391,0.0,0.6158013939857483,0.6152592897453578,0.0,1.0,1.0,0.0,0.0,101.325,0.0,0.0,101.325,0.0,0.0,0.0,0.0,0.0,270.2810940971705,311.95936973952723,14.726215563702155,343.23275,313.15,6.510219843032803,0.8624760537572645,14.157519978848592,290.3581299798586,313.15,6.510130849385449,0.8624642638497607,14.157326447851057,270.2879786381023,313.15,6.510130849385449,0.8624642638497607,14.157326447851057,343.23375,313.15,0.0,0.0,0.0,270.2879786381023,311.95936973952723,0.0,0.0,0.0,270.2810940971705,311.95936973952723,0.0,0.0,0.0,101.325,311.9612836893067,0.0,0.0,0.0,270.2810940971705,311.95936973952723,0.0,0.0,0.0,101.325,311.9612836893067,0.0,0.0,0.0,270.2810940971705,311.95936973952723,8.194392159504584,0.8564449402562077,14.058519422378273,101.325,311.95936973952723,8.194392159504584,0.8564449402562077,14.058519422378273,270.3315672711572,311.95936973952723,0.0,0.0,0.0,101.325,311.9612836893067,0.0,0.0,0.0,270.3315672711572,311.95936973952723,0.0,0.0,0.0,101.325,311.9612836893067,0.0,0.0,0.0,0.00189971923828125,0.6158013939857483,0.3841984272003174,0.0
28/09/2023 22:14:01.805,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.699999988079071,0.15,1.0,0.0,0.0,101.325,0.0,0.0010329484939575195,0.0,101.325,0.0,0.3434653878211975,0.34360262751579285,0.0,0.6565346121788025,0.6563975811043056,0.0,1.0,1.0,0.0,0.0,101.325,0.0,0.0,101.325,0.0,0.0,0.0,0.0,0.0,283.4971117348639,311.8013961514894,14.726215563702155,343.23275,313.15,6.168398199433792,0.8171914106317941,13.414173845363578,301.5281189692976,313.15,6.168352551300833,0.817185363152212,13.414074576157631,283.5043414172304,313.15,6.168352551300833,0.817185363152212,13.414074576157631,343.23375,313.15,0.0,0.0,0.0,283.5043414172304,311.8013961514894,0.0,0.0,0.0,283.4971117348639,311.8013961514894,0.0,0.0,0.0,101.325,311.8033072052373,0.0,0.0,0.0,283.4971117348639,311.8013961514894,0.0,0.0,0.0,101.325,311.8033072052373,0.0,0.0,0.0,283.4971117348639,311.8013961514894,7.4154149903395,0.8138834114313793,13.359873132241358,101.325,311.8013961514894,7.4154149903395,0.8138834114313793,13.359873132241358,283.55011527127556,311.8013961514894,0.0,0.0,0.0,101.325,311.8033072052373,0.0,0.0,0.0,283.55011527127556,311.8013961514894,0.0,0.0,0.0,101.325,311.8033072052373,0.0,0.0,0.0,0.0010329484939575195,0.6565346121788025,0.3434653878211975,0.0
28/09/2023 22:14:02.891,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.699999988079071,0.15,1.0,0.0,0.0,101.325,0.0,0.0005515813827514648,0.0,101.325,0.0,0.3190575838088989,0.31894630193710327,0.0,0.6809425354003906,0.6810538768806728,0.0,1.0,1.0,0.0,0.0,101.325,0.0,0.0,101.325,0.0,0.0,0.0,0.0,0.0,291.0703390507325,311.70334962282016,14.726215563702155,343.23275,313.15,5.91244011640596,0.7832820000896336,12.85755183234624,307.64139045559335,313.15,5.912416583423621,0.7832788824324376,12.857500656091728,291.07776686242244,313.15,5.912416583423621,0.7832788824324376,12.857500656091728,343.23375,313.15,0.0,0.0,0.0,291.07776686242244,311.70334962282016,0.0,0.0,0.0,291.0703390507325,311.70334962282016,0.0,0.0,0.0,101.325,311.7042673352934,0.0,0.0,0.0,291.0703390507325,311.70334962282016,0.0,0.0,0.0,101.325,311.7042673352934,0.0,0.0,0.0,291.0703390507325,311.70334962282016,6.930579727295394,0.7815159795087406,12.828562654561964,101.325,311.70334962282016,6.930579727295394,0.7815159795087406,12.828562654561964,291.1247951481661,311.70334962282016,0.0,0.0,0.0,101.325,311.7042673352934,0.0,0.0,0.0,291.1247951481661,311.70334962282016,0.0,0.0,0.0,101.325,311.7042673352934,0.0,0.0,0.0,0.0005515813827514648,0.6809425354003906,0.3190575838088989,0.0
28/09/2023 22:14:03.968,0.0,0.0,0.0,False,False,False,False,0.38,0.0,0.0,0.0,0.699999988079071,0.15,1.0,0.0,0.0,101.325,0.0,0.0,0.0,101.325,0.0,0.2664511799812317,0.2768661081790924,0.0,0.7335491180419922,0.7231343984642299,0.0,1.0,1.0,0.0,0.0,101.325,0.0,0.0,101.325,0.0,0.0,0.0,0.0,0.0,288.8540478466928,308.9846053071864,14.726215563702155,343.23275,313.15,6.198767440883652,0.8219214712506785,13.853983121743408,307.56918821326803,313.15,6.199004760711341,0.8219529385163554,13.854513521523465,288.8616677703665,313.15,6.199004760711341,0.8219529385163554,13.854513521523465,343.23375,313.15,0.0,0.0,0.0,288.8616677703665,308.9846053071864,0.0,0.0,0.0,288.8540478466928,308.9846053071864,0.0,0.0,0.0,101.325,306.45241994300045,0.0,0.0,0.0,288.8540478466928,308.9846053071864,0.0,0.0,0.0,101.325,306.45241994300045,0.0,0.0,0.0,288.8540478466928,308.9846053071864,5.905110074027491,0.6706224251071738,11.213111539262552,101.325,308.9846053071864,5.905110074027491,0.6706224251071738,11.213111539262552,288.90991238975505,308.9846053071864,0.0,0.0,0.0,101.325,306.45241994300045,0.0,0.0,0.0,288.90991238975505,308.9846053071864,0.0,0.0,0.0,101.325,306.45241994300045,0.0,0.0,0.0,0.0,0.7335491180419922,0.2664511799812317,0.0
28/09/2023 22:14:05.057,0.0,0.0,0.0,False,False,False,False,0.38,0.0,0.0,0.0,0.699999988079071,0.15,1.0,0.0,0.0,101.325,0.0,0.0,0.0,101.325,0.0,0.298334002494812,0.2980097532272339,0.0,0.7016665935516357,0.7019909620284798,0.0,1.0,1.0,0.0,0.0,101.325,0.0,0.0,101.325,0.0,0.0,0.0,0.0,0.0,297.2428854179495,311.54948675519006,14.726215563702155,343.23275,313.15,5.588973360624468,0.7410662282710944,12.491119136892014,312.4680230051835,313.15,5.588966395737562,0.741065304766519,12.491103570664281,297.25068606511473,313.15,5.588966395737562,0.741065304766519,12.491103570664281,343.23375,313.15,0.0,0.0,0.0,297.25068606511473,311.54948675519006,0.0,0.0,0.0,297.2428854179495,311.54948675519006,0.0,0.0,0.0,101.325,311.54994596097646,0.0,0.0,0.0,297.2428854179495,311.54948675519006,0.0,0.0,0.0,101.325,311.54994596097646,0.0,0.0,0.0,297.2428854179495,311.54948675519006,6.420963678186319,0.7405163301682514,12.481831426858784,101.325,311.54948675519006,6.420963678186319,0.7405163301682514,12.481831426858784,297.3000749132959,311.54948675519006,0.0,0.0,0.0,101.325,311.54994596097646,0.0,0.0,0.0,297.3000749132959,311.54948675519006,0.0,0.0,0.0,101.325,311.54994596097646,0.0,0.0,0.0,0.0,0.7016665935516357,0.298334002494812,0.0
28/09/2023 22:14:06.144,0.0,0.0,0.0,False,False,False,False,0.38,0.0,0.0,0.0,0.699999988079071,0.15,1.0,0.0,0.0,101.325,0.0,0.0,0.0,101.325,0.0,0.2940082550048828,0.2936396896839142,0.0,0.7059923410415649,0.7063609957694771,0.0,1.0,1.0,0.0,0.0,101.325,0.0,0.0,101.325,0.0,0.0,0.0,0.0,0.0,298.41409889672747,311.6170657044508,14.726215563702155,343.23275,313.15,5.540179241211789,0.734596404261963,12.38206634321482,313.375740617585,313.15,5.540175210611184,0.7345958698271402,12.382057334992899,298.4219485906967,313.15,5.540175210611184,0.7345958698271402,12.382057334992899,343.23375,313.15,0.0,0.0,0.0,298.4219485906967,311.6170657044508,0.0,0.0,0.0,298.41409889672747,311.6170657044508,0.0,0.0,0.0,101.325,311.62464974909375,0.0,0.0,0.0,298.41409889672747,311.6170657044508,0.0,0.0,0.0,101.325,311.62464974909375,0.0,0.0,0.0,298.41409889672747,311.6170657044508,6.3258335583505065,0.734131061670248,12.37422270490234,101.325,311.6170657044508,6.3258335583505065,0.734131061670248,12.37422270490234,298.47164797274803,311.6170657044508,0.0,0.0,0.0,101.325,311.62464974909375,0.0,0.0,0.0,298.47164797274803,311.6170657044508,0.0,0.0,0.0,101.325,311.62464974909375,0.0,0.0,0.0,0.0,0.7059923410415649,0.2940082550048828,0.0
