Datetime,Variaveis.TR1_RUIDO,Variaveis.TR2_RUIDO,Variaveis.TR3_RUIDO,Variaveis.H2O_QTD,Valvula.VALVE5.OP,Variaveis.VOTACAO_TRANSMISSORES,Valvula.VALVE_RESPIRO.OP,Valvula.VALVE_RESPIRO.L,StreamSend.FLARE.P,Valvula.VALVE3.OP,Valvula.VALVE3.L,StreamSend.SAIDA_GAS.P,Valvula.VALVE2.OP,Valvula.VALVE2.L,Valvula.VALVE1.OP,Valvula.VALVE1.L,Valvula.VALVE_SHUTOFF.OP,Valvula.VALVE_SHUTOFF.L,StreamSend.SAIDA_LIQUIDO.P,Valvula.VALVE4.OP,Valvula.VALVE4.L,StreamSend.SAIDA_VAZAMENTO.P,Valvula.VALVE5.L,Transmissor.TR1.OUT,Transmissor.TR2.OUT,Transmissor.TR3.OUT,Drum.V1.L,Drum.V1.P,Drum.V1.T,Tubo.S1.P,Tubo.S1.W,Tubo.S2.P,Tubo.S2.W,Tubo.S6.P,Tubo.S6.W,Tubo.S5.P,Tubo.S5.W,Tubo.S10.P,Tubo.S10.W,Tubo.S3.P,Tubo.S3.W,Tubo.S4.P,Tubo.S4.W,Tubo.S25.P,Tubo.S25.W,Tubo.S26.P,Tubo.S26.W,Tubo.S27.P,Tubo.S27.W,Tubo.S28.P,Tubo.S28.W,Controlador.PC1.OUT,Controlador.PID1.OUT,Controlador.PID2.OUT,Controlador.PID3.OUT
30/09/2023 15:11:32.720,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30/09/2023 15:11:33.812,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30/09/2023 15:11:34.910,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30/09/2023 15:11:36.004,False,False,False,0.0,0.0,9.54921924858354e-05,0.0,0.0,101.32499694824219,0.3390023708343506,0.2743701636791229,101.32499694824219,0.40754544734954834,0.29586470127105713,0.5924546718597412,0.19900000095367432,1.0,1.0,101.32499694824219,0.0,0.0,101.32499694824219,0.0,9.54921924858354e-05,9.54921924858354e-05,9.54921924858354e-05,0.00023873048485256732,175.47235107421875,306.76861572265625,343.2327575683594,7.9594316482543945,183.47967529296875,7.950512409210205,175.4794921875,7.950512409210205,175.47235107421875,0.11183902621269226,101.32499694824219,0.11183902621269226,175.47235107421875,7.289180278778076,101.32499694824219,7.289180278778076,175.52691650390625,0.0,101.32499694824219,0.0,175.52691650390625,0.0,101.32499694824219,0.0,0.3390023708343506,0.5924546718597412,0.40754544734954834,0.0
30/09/2023 15:11:37.090,False,False,False,0.0,0.0,1.978134605451487e-05,0.0,0.0,101.32499694824219,0.25456178188323975,0.2700832784175873,101.32499694824219,0.5403263568878174,0.5429990887641907,0.45967352390289307,0.4570009112358093,1.0,1.0,101.32499694824219,0.0,0.0,101.32499694824219,0.0,1.978134605451487e-05,1.978134605451487e-05,1.978134605451487e-05,4.945336695527658e-05,215.49026489257812,298.8134460449219,343.2327575683594,14.86294937133789,237.60911560058594,14.862281799316406,215.4961700439453,14.862281799316406,215.49026489257812,0.12439265102148056,101.32499694824219,0.12439265102148056,215.49026489257812,15.115593910217285,101.32499694824219,15.115593910217285,215.53408813476562,0.0,101.32499694824219,0.0,215.53408813476562,0.0,101.32499694824219,0.0,0.25456178188323975,0.45967352390289307,0.5403263568878174,0.0
30/09/2023 15:11:38.186,False,False,False,0.0,0.0,0.0,0.0,0.0,101.32499694824219,0.004608511924743652,0.0,101.32499694824219,0.505168080329895,0.5070486068725586,0.49483174085617065,0.49295133352279663,1.0,1.0,101.32499694824219,0.0,0.0,101.32499694824219,0.0,0.0,0.0,0.0,0.0,227.98745727539062,307.87567138671875,343.2327575683594,15.016693115234375,250.56546020507812,15.016142845153809,227.99334716796875,15.016142845153809,227.98745727539062,0.0,101.32499694824219,0.0,227.98745727539062,14.831817626953125,101.32499694824219,14.831817626953125,228.0305938720703,0.0,101.32499694824219,0.0,228.0305938720703,0.0,101.32499694824219,0.0,0.004608511924743652,0.49483174085617065,0.505168080329895,0.0
30/09/2023 15:11:39.276,False,False,False,0.0,0.0,0.0,0.0,0.0,101.32499694824219,0.0,0.0031279935501515865,101.32499694824219,0.4760321378707886,0.47757184505462646,0.5239676237106323,0.522428035736084,1.0,1.0,101.32499694824219,0.0,0.0,101.32499694824219,0.0,0.0,0.0,0.0,0.0,237.99855041503906,308.6511535644531,343.2327575683594,15.02743148803711,260.60931396484375,15.026976585388184,238.0046844482422,15.026976585388184,237.99855041503906,0.0016045214142650366,101.32499694824219,0.0016045214142650366,237.99855041503906,14.806331634521484,101.32499694824219,14.806331634521484,238.04347229003906,0.0,101.32499694824219,0.0,238.04347229003906,0.0,101.32499694824219,0.0,0.0,0.5239676237106323,0.4760321378707886,0.0
30/09/2023 15:11:40.362,False,False,False,0.3799999952316284,0.0,0.0,0.0,0.0,101.32499694824219,0.20329070091247559,0.0024776007048785686,101.32499694824219,0.6525356769561768,0.4512922763824463,0.3474641442298889,0.5487076640129089,1.0,1.0,101.32499694824219,0.0,0.0,101.32499694824219,0.0,0.0,0.0,0.0,0.0,276.7284851074219,308.5224914550781,343.2327575683594,12.583795547485352,292.1287841796875,12.563637733459473,276.73486328125,12.563637733459473,276.7284851074219,0.0014680231688544154,101.32499694824219,0.0014680231688544154,276.7284851074219,16.16175651550293,101.32499694824219,16.16175651550293,276.7751770019531,0.0,101.32499694824219,0.0,276.7751770019531,0.0,101.32499694824219,0.0,0.20329070091247559,0.3474641442298889,0.6525356769561768,0.0
30/09/2023 15:11:41.452,False,False,False,0.3799999952316284,0.0,0.0002894749050028622,0.0,0.0,101.32499694824219,0.0,0.001868775929324329,101.32499694824219,0.43562015891075134,0.43688255548477173,0.5643796920776367,0.5631174445152283,1.0,1.0,101.32499694824219,1.4722347259521484e-05,0.0,101.32499694824219,0.0,0.0002894749050028622,0.0002894749050028622,0.0002894749050028622,0.000723687291610986,255.044921875,358.637939453125,343.2327575683594,14.776995658874512,276.3236999511719,14.776694297790527,255.05068969726562,14.776694297790527,255.044921875,0.000986766186542809,101.32499694824219,0.000986766186542809,255.044921875,13.942824363708496,101.32499694824219,13.942824363708496,255.09388732910156,0.0,101.32499694824219,0.0,255.09388732910156,0.0,101.32499694824219,0.0,0.0,0.5643796920776367,0.43562015891075134,1.4722347259521484e-05
30/09/2023 15:11:42.546,False,False,False,0.3799999952316284,0.0,0.0005829192232340574,0.0,0.0,101.32499694824219,0.0,0.0014962184941396117,101.32499694824219,0.416297048330307,0.4171474575996399,0.583702802658081,0.5828526020050049,1.0,1.0,101.32499694824219,1.481175422668457e-05,0.0,101.32499694824219,0.0,0.0005829192232340574,0.0005829192232340574,0.0005829192232340574,0.0014572981745004654,261.6180114746094,360.5457458496094,343.2327575683594,14.588679313659668,282.35968017578125,14.588415145874023,261.6239013671875,14.588415145874023,261.6180114746094,0.0008153730886988342,101.32499694824219,0.0008153730886988342,261.6180114746094,13.739788055419922,101.32499694824219,13.739788055419922,261.6745910644531,0.0,101.32499694824219,0.0,261.6745910644531,0.0,101.32499694824219,0.0,0.0,0.583702802658081,0.416297048330307,1.481175422668457e-05
